,taxid,seasonality,curr,pnv,perc
10750,22708136, resident,4092254816,4478627840,0.913729598
10751,22721803, breeding,1.35247E+12,2.29862E+12,0.588385664
10752,22722703, resident,1.0004E+11,1.04922E+11,0.953470614
10755,22722747, resident,1.04703E+11,1.47263E+11,0.710995901
10756,22708142, resident,5076081456,5900620528,0.860262312
10759,22722750, resident,1.14915E+11,2.55428E+11,0.449890556
10760,22711118, resident,36719065216,68227439616,0.538186182
10761,22708844, resident,1177321156,1195398604,0.984877473
10762,22708132, resident,2.33871E+11,3.43228E+11,0.681387193
10763,22708391, resident,81524965984,89240130176,0.913546023
10764,22722080, resident,5.53603E+12,8.08758E+12,0.684509549
10765,22708905, resident,40119639216,69974175152,0.573349227
10768,22708139, nonbreeding,7.36184E+11,8.12603E+11,0.905958465
10769,22722700, resident,4.886E+11,5.54769E+11,0.880727951
10772,22720027, resident,22475189241,24106621662,0.932324303
10773,22724488, resident,3932660760,5577323200,0.705116168
10775,22708139, breeding,8.66569E+11,1.0533E+12,0.822720154
10779,22721762, breeding,4.30995E+12,5.58581E+12,0.771589851
10780,22711512, resident,1487604320,1555142240,0.956571227
10782,22711444, resident,98530604064,1.27523E+11,0.772651879
10783,22716861, resident,55482481002,1.18478E+11,0.468291866
10784,22711447, resident,52379863056,1.22817E+11,0.426488358
10785,22711427, resident,68710798784,1.84049E+11,0.373328059
10787,22711438, resident,1.78811E+11,2.7178E+11,0.657925135
10788,22722766, resident,3.11719E+12,3.54903E+12,0.878321016
10790,22721758, breeding,2.94911E+12,4.1877E+12,0.704230335
10791,22708385, nonbreeding,3.28982E+11,3.9273E+11,0.837679905
10794,22711287, resident,9.07076E+11,1.1764E+12,0.771062638
10795,22711732, resident,80161363605,1.01913E+11,0.78656864
10800,22712134, resident,17584074160,23426620960,0.75060224
10801,22708553, breeding,8.8966E+11,1.23257E+12,0.721795204
10802,22708153, breeding,3.59043E+12,5.03988E+12,0.712402831
10810,22708556, breeding,2.25534E+12,2.49463E+12,0.904079133
10811,22711332, nonbreeding,1.27844E+12,1.63774E+12,0.780608702
10813,22711335, resident,1.47232E+12,2.77254E+12,0.531034587
10815,22724961, resident,20427169024,23404661216,0.872782085
10816,22705642, nonbreeding,38943804104,58314482264,0.667823885
